source_language,target_language,source_text,target_text
Dholuo,Swahili,Beti otur ok nyal beto,Panga limevunjika haliwezi kufyeka.
Dholuo,Swahili,to rusa ero omigi,Na ruhusa yenyewe ndiyo hiyo wamepewa.
Dholuo,Swahili,Oruakgi ekar thieth ma othaya annex kama itemo rese ngimagi.,Wamepelekwa hospitali ya othaya annex ambapo wanahudumiwa.
Dholuo,Swahili,"Jowuoth ma biro riembo mtokni e kinde ma piny ng'ich, onego otang' kendo kik giwuoth mokalo tong' nikech ne ayudo masira mar ndara e dwe mar Desemba higa mar 199 ka ne adhi dala.","wa masika na madereva ikiwa wataendesha magari yao wakati wa masika basi wawe makini na wasiendeshe kwa kasi kwani kuna ajali ambayo nilishuhudia wakati wa Disemba mwaka elfu mbili na kumi na tisa nilipokuwa naelekea nyumbani,"
Dholuo,Swahili,"Chiege ma ne iluongo ni Amani, ne luoko lewni ne welo mondo omi gibed gi gima ginyalo chamo nikech samoro chwore ne nyalo bedo gi rech kata ne ok onyal chiemo.",Bibi yake aliyekuwa akiitwa Amani alikuwa akiwafulia watu nguo ndiposa wapate angalau kitu cha kupeleka mdomoni kwa sababu mumewe wakati mwingine angepata samaki au akose.
Dholuo,Swahili,jotelo noth eastern refugeesgo giwegi bende koro ok orwako paro mondo mi duokgi epiny somalia ka moko kuomgi osedak pachgo kuom higni 30 kod  bathe mokalao4,Baadhi ya wakimbizi hao wamekashifu mpango huo wakisema kuwa wamekaa humu nchini kwazaidi ya miaka thelathini
Dholuo,Swahili,Gima chwer onge yadhe.,Chambilecho wahenga cha kuvuja hakina rubani.
Dholuo,Swahili,Dani ngeny gi nyikwayo,Nyanya yangu ana wajukuu wengi 
Dholuo,Swahili,"Mar ariyo, tuo mar corona miyo yuto mag ji lal ahinya.",Pili jangu la korona linachangia katika kusambaratika kwa uchumi.
Dholuo,Swahili,Mano wuod ner babana.,Huyo ni kijana wa mjomba wa baba yangu.
Dholuo,Swahili,"E wi mano, ji mang'eny tinde ok ti gi mwandu mag lowo e yo makare, to mano mono ji tiyo gi mwandu mag lowo e yo makare.",wa madini kupindukia na kutelekeza sekia nyingine za kiuchumi kama kilimo.
Dholuo,Swahili,contractors  mane jogero projects ma opogore opogore ei kisumu to sani pod ok ochul chano mar dhi loro projects go nyaka kinde ma sirikand kisumu county biro miyogi chudo,Makontrakta waliomaliza miradi yao na kufunguliwa ila hadi sasa hawajalipwa wanapanga kuenda kufunga miradi hiyo hadi watakapolipwa
Dholuo,Swahili,Osuru ukawo to ok ti kata.,Mnachukua ushuru na hamtufanyii kazi
Dholuo,Swahili,Dwarore ni imi ng'at miwuoyogo thuolo mar wuoyo ma ok obudhi,Mhojiwa anahitaji kupewa fursa ya kuzungumza bila kukawia.
Dholuo,Swahili,Ber ok cham ber marach,Urembo pekee hautoshi.
Dholuo,Swahili,Janyuol moro nochwal e doho kuom ketho mar chwado nyathien kendpo weye gi adhola e dende., Mzazi mmoja alifikishwa mahakamani kwa kosa la kumchapa mtoto na kumwacha na vidonda mwilini.
Dholuo,Swahili,"Kata kamano, kapo ni bugno nigi ite mokalo achiel, e ite maluwo, ndik nying' ng'at mondike, tarik, kod namba mar ite, gi mamoko.","Hata hivyo, iwapo itakuwa ndefu kupita ukurasa mmoja, katika ukurasa zinazofuata unahitaji kunakili ukurasa mmoja, katika kurasa zinazofuata unahitaji kunakili jina la mwandikiwa, tarehe na nambari ya ukurasa k.v."
Dholuo,Swahili,Nyithindo nyalo dongo mapiyo ka gipuonjore.,Watoto wanaweza kukua haraka wanapojifunza.
Dholuo,Swahili,Dhano ipuonjonyaka tho,Elimu haina mwisho.
Dholuo,Swahili,Wek kelona nyako.,Usiniletee msichana
Dholuo,Swahili,Odwa omwon gi low,Nyumba yetu imejengwa na matope 
Dholuo,Swahili, Adwa dhii konyo nyithi kiye ka gi chiemo,Nataka kuenda kusaidia wale watoto yatima chakula 
Dholuo,Swahili,"Kapo ni nitie gik moko ma ok ler e odno, ginyalo kelo tuoche kaka kute mag ayaki kod mamoko.",Ikiwa chafu inaweza lete ugonjwa kama bakteria na zinginezo.
Dholuo,Swahili,Chakre juma mokalo mauta onge,Hakuna mafuta kutoka wiki iliyopita
Dholuo,Swahili,In ema ibo nega.,Wewe ndiye utaniua.
Dholuo,Swahili,Kik iwuo gi ng’ato ang’ata e matoka,Usionge na mtu yeyote kwa gari
Dholuo,Swahili,"Mano ne en wach ma ne ok ogeno, kendo ne ok ogeno ni nyamin Rashid ne nyalo wuoyo e yo maber moloye.",Hiyo moja  hakuwa na matumaini nayo wala hakuitarajia manake Rashid alikuwa  amewasilisha vyema kumliko.
Dholuo,Swahili,A. mar Wach mar B. Ngeche C. Statement D. oket kare 38.,A. Fumbo B. Methali C. Sitiari D. lasihihi 38.
Dholuo,Swahili,Nowegi kanyo kendo gigoyo Miriti kendo gimaye omenda. ,Waliachwa pale wakampiga na kumpokonya fedha zake bwana Miriti. 
Dholuo,Swahili,Wuololo alew manade yawa.,heee ni nani hata nisaidia
Dholuo,Swahili,"To mana kaka japuonjre yudo pek e skul, japuonjre nyalo chungo tijegi mag skul mana mondo gimany chieth kuom tuwono.",Kama vile wanafunzi hizo hupata tabu wakiwa shuleni huweza kusitisha masomo yao kwa matibabu ya maradhi hayo.
Dholuo,Swahili,Okwal kibeti na e chiro,Nimeibiwa kibeti changu sokoni 
Dholuo,Swahili,"Ni e ndalogo, e loch mar adek korumo e piny madiere, e africa ma ugwewuoyi biro wuok koa podho chieng",Kuwa wakati huo ukifika kutakuwa na ukombozi wa tatu na wa mwisho
Dholuo,Swahili,Pile mag juala onego oket mabor gi ogolo mag odundu koda mag ng'owo.,Mifuko ya plastiki yatupwe katika pipa tofauti na maganda ya ndizi na viazi.
Dholuo,Swahili,"Kanyo kanyo kuom wuoyo marach ewi buge moko, bende inyalo yui katimore e twak e ute mag fwambo weche kaka nyaka londo kata wang' liech. ",Papo hapo kwa kuchafua vitabu vingine pia kwaweza kushuhudiwa katika mjadala na midahalo kwenye vyombo vya habari iwe ni redio au runinga. 
Dholuo,Swahili,Ngatno omadho kong'o.,Huyo mtu amekunywa pombe
Dholuo,Swahili,Dhi iluonga go sani,Enda ukamite aje sasa hivi
Dholuo,Swahili,Ang'o ma omiyo ne oyie?,Kwa nini alikubali?
Dholuo,Swahili,Kor nyathi lit?,Kifua cha mtoto ni chungu?
Dholuo,Swahili,Jogo ma imakio nikech koso rwako abuog rombe kendo wuotho oko e seche ma otieno miyo obila mit bilie kendo iweyo thuolo kanyo kanyo.,Watu wanaotiwa mbaroni kwa sababu ya kukiuka sheria ya kuvaa barakoa na kuwa ndani ifikapo wakati wa kafyu hutoa hongo kwa polisi na kuachiliwa papo hapo.
Dholuo,Swahili,"Chieng ' Tich Abich, ne oromo gi jotelo mag County mar Busia, ma ne obiro gi ji mia abich.","Mnamo Ijumaa, alikutana na viongozi kutoka Kaunti ya  Busia, ambao waliandamana na watu 500. "
Dholuo,Swahili,Gwen ochamo cham tee,Kuku wamekula mahindi yote 
